epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,73.493,0.473,0.636,0.87663,0.27396,0.05,0.09059,0.04083,2.15382,3.57078,2.89359,0.0011684,0.0011684,0.0011684
44,75.2313,0.49855,0.56072,0.90588,0.02017,0.35,0.05371,0.02569,2.43975,3.71967,3.0564,0.0011486,0.0011486,0.0011486
45,76.9108,0.48628,0.54817,0.89446,0.0202,0.3,0.05027,0.02545,2.40534,3.73205,2.89394,0.0011288,0.0011288,0.0011288
46,78.5946,0.47514,0.55832,0.89652,0.03086,0.25,0.03442,0.00894,2.3742,3.88404,2.87847,0.001109,0.001109,0.001109
47,80.2693,0.45674,0.51763,0.87272,0.01307,0.1,0.01607,0.00358,2.80622,3.96275,3.15282,0.0010892,0.0010892,0.0010892
48,81.9297,0.44826,0.5054,0.87648,0.00654,0.05,0.00464,0.00278,2.74133,4.04063,3.06361,0.0010694,0.0010694,0.0010694
49,83.53,0.44159,0.46964,0.88153,0.00671,0.05,0.00386,0.00181,2.73101,4.03402,3.17334,0.0010496,0.0010496,0.0010496
50,85.2452,0.44112,0.48142,0.87305,0.02073,0.2,0.01879,0.00459,2.64131,3.88294,3.44396,0.0010298,0.0010298,0.0010298
51,87.1944,0.44374,0.46636,0.88839,0.24685,0.1,0.08136,0.02059,2.55421,3.84703,3.44548,0.00101,0.00101,0.00101
52,88.933,0.45825,0.48018,0.86962,0.05319,0.25,0.113,0.03914,2.62306,3.94215,3.26491,0.0009902,0.0009902,0.0009902
53,90.5807,0.44726,0.50734,0.86953,0.075,0.3,0.07736,0.02928,2.62935,4.08608,3.15719,0.0009704,0.0009704,0.0009704
54,92.3075,0.43125,0.46346,0.85765,0.01493,0.05,0.00998,0.00723,2.70924,4.18751,3.23398,0.0009506,0.0009506,0.0009506
55,93.9432,0.41689,0.44822,0.84405,0.01471,0.05,0.01052,0.00824,2.43951,4.13608,2.99967,0.0009308,0.0009308,0.0009308
56,95.6617,0.42929,0.48802,0.86173,0.07547,0.2,0.07015,0.02836,2.51318,3.96245,3.21187,0.000911,0.000911,0.000911
57,97.2538,0.44062,0.48676,0.86518,0.08929,0.25,0.0956,0.0378,2.2999,3.86107,3.08262,0.0008912,0.0008912,0.0008912
58,98.8342,0.38235,0.42279,0.84978,0.11111,0.25,0.13775,0.0652,2.31344,3.89754,3.0315,0.0008714,0.0008714,0.0008714
59,100.56,0.42118,0.46659,0.87235,0.125,0.25,0.13063,0.05802,2.24532,3.82255,2.96874,0.0008516,0.0008516,0.0008516
60,102.257,0.39331,0.41252,0.85457,0.17778,0.4,0.19161,0.07918,2.17547,3.94413,2.88631,0.0008318,0.0008318,0.0008318
61,103.934,0.40998,0.44225,0.8346,0.19048,0.4,0.17488,0.06679,2.13716,4.01145,2.79064,0.000812,0.000812,0.000812
62,105.785,0.35805,0.40943,0.83454,0.12963,0.35,0.11807,0.05542,2.11497,3.93322,2.7982,0.0007922,0.0007922,0.0007922
63,107.39,0.36499,0.40606,0.84668,0.07368,0.35,0.06787,0.02882,2.10803,4.03238,2.76676,0.0007724,0.0007724,0.0007724
64,109.033,0.38672,0.42159,0.8568,0.01587,0.1,0.00914,0.00225,2.1132,4.2363,2.78899,0.0007526,0.0007526,0.0007526
65,110.628,0.39303,0.42628,0.86054,0,0,0,0,2.15984,4.28333,2.83314,0.0007328,0.0007328,0.0007328
66,112.243,0.36834,0.41221,0.83929,0,0,0,0,2.24621,4.30733,2.93734,0.000713,0.000713,0.000713
67,113.906,0.34385,0.40248,0.84557,0.08333,0.15,0.05608,0.02404,2.37218,4.22285,3.03612,0.0006932,0.0006932,0.0006932
68,115.595,0.35657,0.36986,0.83043,0.07317,0.15,0.04987,0.02093,2.43682,4.14125,3.01597,0.0006734,0.0006734,0.0006734
69,117.238,0.39664,0.40759,0.85824,0.06977,0.15,0.04787,0.01995,2.43608,4.10977,2.97955,0.0006536,0.0006536,0.0006536
70,118.93,0.37873,0.37778,0.85758,0.08,0.2,0.05587,0.01923,2.40117,4.09077,3.00421,0.0006338,0.0006338,0.0006338
71,120.644,0.31963,0.33836,0.83533,0.08511,0.2,0.06136,0.02273,2.33175,4.03884,3.06661,0.000614,0.000614,0.000614
72,122.304,0.3843,0.39075,0.87367,0.08,0.2,0.0604,0.02208,2.27641,4.05992,3.0684,0.0005942,0.0005942,0.0005942
73,124.239,0.36207,0.38774,0.85572,0.08511,0.2,0.07061,0.02525,2.27607,4.12034,3.06273,0.0005744,0.0005744,0.0005744
74,125.847,0.32358,0.35821,0.84249,0.06452,0.1,0.04203,0.00639,2.2762,4.27057,3.02358,0.0005546,0.0005546,0.0005546
75,127.484,0.34652,0.36528,0.85243,0,0,0,0,2.26154,4.38789,2.85251,0.0005348,0.0005348,0.0005348
