epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3214,1.00091,2.32455,1.3144,0.64526,0.81363,0.76671,0.53822,0.96615,1.46954,1.34324,0.000553342,0.000553342,0.000553342
2,47.4667,1.13327,1.86961,1.36575,0.72287,0.80107,0.77806,0.53592,1.03001,1.36494,1.33598,0.00109803,0.00109803,0.00109803
3,69.1269,1.15264,1.66929,1.38162,0.68513,0.78243,0.81019,0.52359,1.08863,1.2823,1.41192,0.00163171,0.00163171,0.00163171
4,90.6839,1.14099,1.51014,1.37706,0.75118,0.81684,0.8424,0.57973,0.96686,1.10415,1.33988,0.00161749,0.00161749,0.00161749
5,112.34,1.12252,1.38519,1.36476,0.77562,0.86339,0.85785,0.61889,0.88725,0.96997,1.22495,0.00160099,0.00160099,0.00160099
6,133.844,1.09007,1.26862,1.3388,0.76547,0.86444,0.87873,0.65111,0.86372,0.92476,1.22066,0.00158448,0.00158448,0.00158448
7,155.334,1.08677,1.244,1.347,0.78741,0.81411,0.83629,0.58997,0.92843,0.98313,1.25217,0.00156798,0.00156798,0.00156798
8,177.29,1.10886,1.20983,1.345,0.81821,0.82735,0.8593,0.63341,0.84637,0.88994,1.19769,0.00155148,0.00155148,0.00155148
9,198.773,1.0468,1.15687,1.3151,0.84046,0.8952,0.90718,0.67897,0.8437,0.80259,1.19371,0.00153497,0.00153497,0.00153497
10,220.463,1.01003,1.11091,1.30292,0.76419,0.83859,0.87129,0.64641,0.85423,0.87724,1.20313,0.00151847,0.00151847,0.00151847
11,241.985,0.9933,1.06841,1.27673,0.87382,0.80809,0.90195,0.67613,0.81739,0.76996,1.17485,0.00150197,0.00150197,0.00150197
12,263.368,0.99689,1.02866,1.28227,0.74759,0.8854,0.89538,0.69728,0.80067,0.78983,1.18667,0.00148546,0.00148546,0.00148546
13,285.135,0.96226,1.00225,1.25762,0.81652,0.89042,0.89924,0.69008,0.7967,0.75412,1.17409,0.00146896,0.00146896,0.00146896
14,307.108,0.96741,0.98342,1.25334,0.86597,0.84393,0.91275,0.71021,0.72302,0.70308,1.10669,0.00145246,0.00145246,0.00145246
15,328.801,0.97541,0.97776,1.27374,0.80068,0.90015,0.91669,0.70152,0.76307,0.73871,1.14371,0.00143595,0.00143595,0.00143595
16,349.946,0.96759,0.97588,1.25571,0.84362,0.88746,0.92442,0.70652,0.76164,0.71111,1.12537,0.00141945,0.00141945,0.00141945
17,371.281,0.93649,0.94757,1.24246,0.90335,0.84946,0.91632,0.70728,0.76697,0.68267,1.13738,0.00140295,0.00140295,0.00140295
18,392.832,0.9325,0.90797,1.24455,0.81794,0.9138,0.92136,0.70991,0.74839,0.69179,1.12953,0.00138644,0.00138644,0.00138644
19,414.133,0.91007,0.89826,1.23263,0.87085,0.8886,0.93305,0.7404,0.67348,0.62011,1.07113,0.00136994,0.00136994,0.00136994
