epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,21.4777,0.57903,1.26128,0.95757,0.27641,0.15,0.25938,0.17355,1.15696,2.74417,1.45229,0.000665364,0.000665364,0.000665364
44,21.9282,0.66551,1.20122,0.98135,0.27641,0.15,0.25938,0.17355,1.15696,2.74417,1.45229,0.000676949,0.000676949,0.000676949
45,22.3914,0.72476,1.23624,1.0798,0.3906,0.45,0.31652,0.20687,1.08736,2.5923,1.31307,0.000688336,0.000688336,0.000688336
46,22.9894,0.69413,1.2061,1.06484,0.3906,0.45,0.31652,0.20687,1.08736,2.5923,1.31307,0.000699525,0.000699525,0.000699525
47,23.4249,0.68181,1.0453,1.07328,0.34528,0.5,0.37975,0.26042,1.00202,2.39564,1.20122,0.000710516,0.000710516,0.000710516
48,23.8502,0.60322,1.13723,0.9858,0.34528,0.5,0.37975,0.26042,1.00202,2.39564,1.20122,0.000721309,0.000721309,0.000721309
49,24.3152,0.73695,1.13124,0.99665,0.42056,0.76235,0.47633,0.31841,0.95375,2.26474,1.14213,0.000731904,0.000731904,0.000731904
50,24.7419,0.73037,1.27689,1.07126,0.42056,0.76235,0.47633,0.31841,0.95375,2.26474,1.14213,0.000742301,0.000742301,0.000742301
51,25.2143,0.845,1.72325,1.10141,0.44729,0.75,0.45953,0.29298,1.02615,2.30172,1.24275,0.0007525,0.0007525,0.0007525
52,25.6292,0.64447,1.08961,1.01403,0.44729,0.75,0.45953,0.29298,1.02615,2.30172,1.24275,0.000762501,0.000762501,0.000762501
53,26.0582,0.6707,1.11441,1.10938,0.44729,0.75,0.45953,0.29298,1.02615,2.30172,1.24275,0.000772304,0.000772304,0.000772304
54,26.5499,0.62422,1.06655,0.98278,0.29958,0.68456,0.3302,0.22163,0.99735,2.64695,1.24213,0.000781909,0.000781909,0.000781909
55,27.1276,0.50465,1.25204,0.94453,0.29958,0.68456,0.3302,0.22163,0.99735,2.64695,1.24213,0.000791316,0.000791316,0.000791316
56,27.567,0.58438,1.13169,1.03318,0.29958,0.68456,0.3302,0.22163,0.99735,2.64695,1.24213,0.000800525,0.000800525,0.000800525
57,28.0292,0.68251,1.24616,1.04916,0.47948,0.5,0.44549,0.2835,1.06949,2.43939,1.2685,0.000809536,0.000809536,0.000809536
58,28.461,0.68698,1.25015,1.03991,0.47948,0.5,0.44549,0.2835,1.06949,2.43939,1.2685,0.000818349,0.000818349,0.000818349
59,28.8811,0.70347,1.21105,0.99483,0.47948,0.5,0.44549,0.2835,1.06949,2.43939,1.2685,0.000826964,0.000826964,0.000826964
60,29.3446,0.6863,1.10103,0.98373,0.44611,0.56419,0.4462,0.30926,0.99192,2.42712,1.21463,0.000835381,0.000835381,0.000835381
61,29.7734,0.55699,1.02924,0.97544,0.44611,0.56419,0.4462,0.30926,0.99192,2.42712,1.21463,0.0008436,0.0008436,0.0008436
62,30.2129,0.63394,0.9914,1.06089,0.44611,0.56419,0.4462,0.30926,0.99192,2.42712,1.21463,0.000851621,0.000851621,0.000851621
63,30.667,0.68862,0.9377,1.02516,0.42328,0.55048,0.3976,0.27508,0.93053,2.45618,1.19212,0.000859444,0.000859444,0.000859444
64,31.1092,0.54079,0.9883,0.91984,0.42328,0.55048,0.3976,0.27508,0.93053,2.45618,1.19212,0.000867069,0.000867069,0.000867069
65,31.6979,0.47946,1.01021,0.99666,0.42328,0.55048,0.3976,0.27508,0.93053,2.45618,1.19212,0.000874496,0.000874496,0.000874496
66,32.1507,0.48986,0.96637,0.91881,0.43399,0.7,0.42726,0.28794,0.94916,2.43772,1.18735,0.000881725,0.000881725,0.000881725
67,32.5688,0.52133,0.99208,0.96887,0.43399,0.7,0.42726,0.28794,0.94916,2.43772,1.18735,0.000888756,0.000888756,0.000888756
