Thu Jul 10 23:50:00 2025    results.prof

         2014028 function calls (1980186 primitive calls) in 77.422 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    2.946    2.946 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/_continuous_distns.py:1(<module>)
      345    0.022    0.000    2.929    0.008 /usr/lib/python3.10/sre_compile.py:783(compile)
      111    0.008    0.000    2.883    0.026 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/_distn_infrastructure.py:1846(__init__)
        1    0.000    0.000    2.747    2.747 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/signal/windows/__init__.py:1(<module>)
        1    0.000    0.000    2.741    2.741 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/signal/windows/_windows.py:1(<module>)
       68    0.002    0.000    2.670    0.039 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_docscrape.py:579(__init__)
      132    0.010    0.000    2.584    0.020 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/_distn_infrastructure.py:821(_construct_doc)
        1    0.000    0.000    2.504    2.504 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/linalg/__init__.py:1(<module>)
      227    0.009    0.000    2.466    0.011 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/artist.py:1413(__init__)
      227    0.249    0.001    2.449    0.011 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/artist.py:1433(get_aliases)
        1    0.000    0.000    2.427    2.427 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/contour.py:1(<module>)
