epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,64.6416,0.51869,0.52138,0.88995,0.48145,0.8,0.55654,0.36349,1.15028,1.82293,1.33241,0.0015941,0.0015941,0.0015941
43,66.1235,0.49763,0.54064,0.8896,0.51334,0.9,0.56459,0.36178,1.11305,1.80555,1.35383,0.0015842,0.0015842,0.0015842
44,67.6259,0.61706,0.60492,0.92747,0.51946,0.85,0.5763,0.38467,1.15039,1.40309,1.35422,0.0015743,0.0015743,0.0015743
45,69.0524,0.50635,0.51887,0.89139,0.5109,0.75,0.49346,0.31939,1.15315,1.68237,1.29728,0.0015644,0.0015644,0.0015644
46,70.5874,0.45655,0.51742,0.87308,0.44858,0.8,0.46974,0.31048,1.07012,1.85856,1.29101,0.0015545,0.0015545,0.0015545
47,72.0595,0.48453,0.50083,0.89711,0.44077,0.9,0.46744,0.30086,1.15242,1.76034,1.34704,0.0015446,0.0015446,0.0015446
48,73.5877,0.52459,0.56366,0.90735,0.37092,0.85,0.41777,0.25449,1.23233,1.72994,1.4249,0.0015347,0.0015347,0.0015347
49,75.1341,0.53613,0.56416,0.90789,0.4215,0.7,0.43096,0.25308,1.29228,1.81709,1.50796,0.0015248,0.0015248,0.0015248
50,76.9229,0.50117,0.5145,0.89438,0.48309,0.5,0.44073,0.26604,1.3055,1.88794,1.54451,0.0015149,0.0015149,0.0015149
51,78.3223,0.49233,0.54325,0.88788,0.50123,0.85,0.53975,0.30859,1.29061,1.59041,1.54087,0.001505,0.001505,0.001505
52,79.8036,0.46981,0.49626,0.88268,0.58283,0.83856,0.58713,0.35367,1.25862,1.46078,1.45072,0.0014951,0.0014951,0.0014951
53,81.2765,0.46294,0.47087,0.89079,0.55429,0.95,0.57975,0.36958,1.23265,1.47232,1.36736,0.0014852,0.0014852,0.0014852
54,82.8113,0.44515,0.44133,0.88058,0.48074,0.95,0.56235,0.36141,1.13485,1.40674,1.27294,0.0014753,0.0014753,0.0014753
55,84.3555,0.44132,0.44809,0.90112,0.57342,0.9,0.58037,0.39411,1.07079,1.32282,1.22487,0.0014654,0.0014654,0.0014654
56,85.8748,0.52888,0.49266,0.90783,0.52527,0.9,0.55657,0.39331,1.07273,1.41834,1.23661,0.0014555,0.0014555,0.0014555
57,87.32,0.43262,0.42472,0.87574,0.51489,0.95,0.5858,0.4253,1.01986,1.41414,1.17961,0.0014456,0.0014456,0.0014456
58,88.7932,0.49732,0.4661,0.89532,0.49697,0.79061,0.58764,0.39913,1.08286,1.52143,1.26561,0.0014357,0.0014357,0.0014357
59,90.3274,0.46638,0.46756,0.8917,0.42701,0.78282,0.54452,0.37841,1.08248,1.65618,1.28189,0.0014258,0.0014258,0.0014258
60,91.8338,0.43906,0.43322,0.8583,0.43412,0.7,0.49314,0.33391,1.15482,1.6745,1.35479,0.0014159,0.0014159,0.0014159
61,93.3253,0.50081,0.49215,0.89327,0.45695,0.84166,0.52215,0.3789,1.01667,1.53225,1.25368,0.001406,0.001406,0.001406
62,94.8445,0.45738,0.42992,0.89068,0.52042,0.85,0.54993,0.35796,1.21496,1.66679,1.40609,0.0013961,0.0013961,0.0013961
63,96.369,0.43641,0.45395,0.89998,0.52022,0.75,0.57395,0.3509,1.24722,1.5488,1.43795,0.0013862,0.0013862,0.0013862
64,98.0478,0.42648,0.45509,0.87479,0.5327,0.74122,0.5417,0.34673,1.21768,1.58799,1.38966,0.0013763,0.0013763,0.0013763
65,99.5116,0.44747,0.44749,0.88239,0.46935,0.75,0.51623,0.35504,1.05567,1.42676,1.24306,0.0013664,0.0013664,0.0013664
66,101,0.43286,0.39889,0.84749,0.47172,0.85,0.50241,0.33963,1.07922,1.563,1.24891,0.0013565,0.0013565,0.0013565
67,102.471,0.43937,0.44482,0.88127,0.50795,0.85,0.55263,0.38437,1.11572,1.51951,1.26463,0.0013466,0.0013466,0.0013466
68,103.992,0.4257,0.43243,0.87372,0.52491,0.85,0.54803,0.36089,1.2034,1.57815,1.34964,0.0013367,0.0013367,0.0013367
69,105.468,0.43991,0.44128,0.85281,0.47202,0.9,0.51107,0.3302,1.21668,1.6027,1.36158,0.0013268,0.0013268,0.0013268
70,106.878,0.42883,0.43116,0.8732,0.55511,0.8,0.52707,0.33261,1.12347,1.76436,1.30553,0.0013169,0.0013169,0.0013169
71,108.336,0.46192,0.44855,0.87866,0.51042,0.8,0.48684,0.28726,1.22053,1.71161,1.41689,0.001307,0.001307,0.001307
72,109.76,0.46702,0.42713,0.89374,0.54602,0.8,0.51523,0.27589,1.39133,1.71901,1.6268,0.0012971,0.0012971,0.0012971
73,111.174,0.41283,0.40798,0.85894,0.52587,0.75,0.48924,0.24946,1.46071,1.81767,1.63806,0.0012872,0.0012872,0.0012872
74,112.586,0.46473,0.41652,0.8808,0.4604,0.8108,0.47081,0.26059,1.37604,1.83874,1.45621,0.0012773,0.0012773,0.0012773
75,114.046,0.40918,0.4061,0.87197,0.47989,0.8,0.48707,0.32075,1.11633,1.67219,1.28679,0.0012674,0.0012674,0.0012674
76,115.515,0.41206,0.38837,0.86472,0.4815,0.75,0.48879,0.31088,1.09876,1.70372,1.32106,0.0012575,0.0012575,0.0012575
77,116.982,0.39073,0.37897,0.86778,0.50705,0.6,0.49649,0.31048,1.16071,1.80948,1.46799,0.0012476,0.0012476,0.0012476
78,118.74,0.43964,0.40843,0.89409,0.48468,0.84659,0.51739,0.31834,1.18746,1.72486,1.45112,0.0012377,0.0012377,0.0012377
79,120.242,0.40461,0.39988,0.88354,0.50563,0.75,0.4978,0.30646,1.14002,1.59038,1.36828,0.0012278,0.0012278,0.0012278
80,121.777,0.41031,0.41523,0.86004,0.51363,0.9,0.54365,0.32254,1.24062,1.54784,1.4371,0.0012179,0.0012179,0.0012179
81,123.282,0.38211,0.36672,0.86112,0.56381,0.85,0.61792,0.35525,1.35447,1.74093,1.49029,0.001208,0.001208,0.001208
82,124.784,0.40121,0.3777,0.86754,0.63608,0.7,0.62034,0.38161,1.40782,1.647,1.53107,0.0011981,0.0011981,0.0011981
83,126.352,0.36511,0.36344,0.85474,0.60533,0.65,0.66863,0.43057,1.1964,1.55825,1.34539,0.0011882,0.0011882,0.0011882
84,127.869,0.41846,0.398,0.87779,0.57469,0.74339,0.61939,0.41676,1.09958,1.51783,1.29462,0.0011783,0.0011783,0.0011783
85,129.369,0.41313,0.36902,0.87193,0.46973,0.79731,0.55565,0.36027,1.27451,1.67404,1.3784,0.0011684,0.0011684,0.0011684
86,130.863,0.40569,0.39453,0.8677,0.50912,0.7,0.55437,0.34781,1.25047,1.66404,1.39423,0.0011585,0.0011585,0.0011585
87,132.345,0.37114,0.3576,0.84847,0.51376,0.7,0.50752,0.32302,1.18506,1.62452,1.36637,0.0011486,0.0011486,0.0011486
88,133.82,0.40157,0.36925,0.86689,0.55906,0.7,0.52586,0.35671,1.14261,1.45135,1.35382,0.0011387,0.0011387,0.0011387
89,135.311,0.40963,0.38856,0.86926,0.55108,0.7,0.53752,0.37463,1.04075,1.40973,1.28852,0.0011288,0.0011288,0.0011288
90,136.78,0.37563,0.36008,0.84778,0.53945,0.70288,0.56471,0.39773,1.0329,1.52459,1.26465,0.0011189,0.0011189,0.0011189
91,138.3,0.39323,0.36136,0.84634,0.51375,0.7,0.58019,0.40827,1.05717,1.64202,1.27336,0.001109,0.001109,0.001109
92,140.052,0.37855,0.37311,0.87354,0.48161,0.75,0.5707,0.39421,1.06186,1.58763,1.28704,0.0010991,0.0010991,0.0010991
93,141.561,0.41687,0.37681,0.86449,0.50755,0.7,0.56422,0.39102,1.09487,1.52532,1.27369,0.0010892,0.0010892,0.0010892
94,142.987,0.38872,0.35348,0.87373,0.50926,0.75,0.59562,0.41684,1.10819,1.51694,1.26355,0.0010793,0.0010793,0.0010793
95,144.507,0.41553,0.37234,0.86417,0.51094,0.75,0.5531,0.38854,1.16253,1.64558,1.29549,0.0010694,0.0010694,0.0010694
96,146.02,0.38398,0.34488,0.84755,0.57574,0.65,0.5595,0.3853,1.17976,1.65592,1.3214,0.0010595,0.0010595,0.0010595
97,147.438,0.4224,0.38662,0.86708,0.50807,0.7,0.57674,0.42111,1.13823,1.55998,1.29734,0.0010496,0.0010496,0.0010496
98,148.931,0.35994,0.33779,0.85636,0.53857,0.85,0.54489,0.38309,1.07545,1.54491,1.26729,0.0010397,0.0010397,0.0010397
