epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91191,1.1054,3.69804,1.4095,0.00582,0.38189,0.01957,0.01454,0.90599,3.6719,1.15054,1.111e-05,1.111e-05,1.111e-05
2,2.56218,0.96644,3.54327,1.27521,0.00746,0.34318,0.02002,0.01607,0.90677,3.67153,1.15425,2.67307e-05,2.67307e-05,2.67307e-05
3,3.20678,0.87837,3.71646,1.31741,0.00881,0.33028,0.02438,0.02056,0.90597,3.6692,1.15738,3.35522e-05,3.35522e-05,3.35522e-05
4,3.83723,0.85336,3.71918,1.2255,0.00993,0.33028,0.02227,0.01745,0.90649,3.66656,1.15673,3.15746e-05,3.15746e-05,3.15746e-05
5,4.45186,0.85689,3.59997,1.1717,0.00607,0.30716,0.01866,0.01558,0.90866,3.66642,1.16031,2.07979e-05,2.07979e-05,2.07979e-05
