epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.90972,0.71531,4.0429,1.03344,0.00513,1,0.29685,0.21577,0.72232,2.76905,0.96702,0.0002,0.0002,0.0002
2,5.68436,0.79268,3.48442,0.99645,0.00513,1,0.31299,0.18988,0.76778,2.75476,0.99068,0.000415842,0.000415842,0.000415842
3,7.46366,0.64988,2.74739,0.90816,0.00487,0.95,0.17922,0.10004,1.33804,3.16487,1.44935,0.000627328,0.000627328,0.000627328
4,9.20001,0.69529,2.47474,0.96955,0.00513,1,0.39497,0.21191,1.14903,2.99243,1.43977,0.000834458,0.000834458,0.000834458
5,10.8994,0.66076,2.08906,0.89208,0.00513,1,0.02793,0.01263,1.73731,3.48354,1.77898,0.00103723,0.00103723,0.00103723
6,12.5783,0.71364,2.02563,0.9696,0.00462,0.9,0.07664,0.03876,1.77249,3.47813,2.1637,0.00123565,0.00123565,0.00123565
7,14.2902,0.71092,2.17543,0.95644,0.00487,0.95,0.10386,0.05486,1.87948,3.53238,2.19826,0.00142971,0.00142971,0.00142971
8,16.0266,0.72708,1.73191,0.96253,0.3449,0.15,0.19237,0.09913,1.82787,3.26701,2.61983,0.00161942,0.00161942,0.00161942
9,17.6195,0.72311,2.46555,0.97238,0.32759,0.1,0.09372,0.04859,1.86151,3.38648,2.58724,0.00180477,0.00180477,0.00180477
