epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.2369,1.11416,3.68763,1.3719,0.00561,0.51815,0.04891,0.01648,0.92467,3.81968,1.14491,1.111e-05,1.111e-05,1.111e-05
2,2.84771,1.18204,3.77,1.38193,0.0102,0.50762,0.0507,0.01525,0.92714,3.81861,1.14397,2.23311e-05,2.23311e-05,2.23311e-05
3,3.36899,0.94211,3.62147,1.31288,0.0233,0.50762,0.05862,0.01833,0.92675,3.82021,1.13747,1.8887e-05,1.8887e-05,1.8887e-05
